Customer 1 has a product quality rating of 5 a service quality rating of 8 a purchase frequency of 5 a feedback level of 1 a loyalty level of 1 and a satisfaction score of 100.0.
Customer 2 has a product quality rating of 10 a service quality rating of 2 a purchase frequency of 8 a feedback level of 2 a loyalty level of 3 and a satisfaction score of 100.0.
Customer 3 has a product quality rating of 8 a service quality rating of 10 a purchase frequency of 18 a feedback level of 2 a loyalty level of 2 and a satisfaction score of 100.0.
Customer 4 has a product quality rating of 7 a service quality rating of 10 a purchase frequency of 16 a feedback level of 1 a loyalty level of 3 and a satisfaction score of 100.0.
Customer 5 has a product quality rating of 6 a service quality rating of 4 a purchase frequency of 13 a feedback level of 1 a loyalty level of 1 and a satisfaction score of 82.0.
Customer 6 has a product quality rating of 5 a service quality rating of 7 a purchase frequency of 19 a feedback level of 3 a loyalty level of 2 and a satisfaction score of 80.71.
Customer 7 has a product quality rating of 10 a service quality rating of 6 a purchase frequency of 11 a feedback level of 3 a loyalty level of 2 and a satisfaction score of 100.0.
Customer 8 has a product quality rating of 10 a service quality rating of 10 a purchase frequency of 10 a feedback level of 2 a loyalty level of 3 and a satisfaction score of 100.0.
Customer 9 has a product quality rating of 10 a service quality rating of 2 a purchase frequency of 12 a feedback level of 3 a loyalty level of 1 and a satisfaction score of 100.0.
Customer 10 has a product quality rating of 6 a service quality rating of 4 a purchase frequency of 20 a feedback level of 3 a loyalty level of 3 and a satisfaction score of 86.48.
Customer 11 has a product quality rating of 9 a service quality rating of 3 a purchase frequency of 3 a feedback level of 3 a loyalty level of 3 and a satisfaction score of 94.6.
Customer 12 has a product quality rating of 8 a service quality rating of 6 a purchase frequency of 13 a feedback level of 2 a loyalty level of 2 and a satisfaction score of 81.85.
Customer 13 has a product quality rating of 8 a service quality rating of 6 a purchase frequency of 20 a feedback level of 2 a loyalty level of 1 and a satisfaction score of 95.99.
Customer 14 has a product quality rating of 6 a service quality rating of 8 a purchase frequency of 17 a feedback level of 2 a loyalty level of 1 and a satisfaction score of 100.0.
Customer 15 has a product quality rating of 1 a service quality rating of 8 a purchase frequency of 15 a feedback level of 2 a loyalty level of 2 and a satisfaction score of 100.0.
Customer 16 has a product quality rating of 1 a service quality rating of 5 a purchase frequency of 10 a feedback level of 2 a loyalty level of 2 and a satisfaction score of 52.34.
Customer 17 has a product quality rating of 5 a service quality rating of 4 a purchase frequency of 7 a feedback level of 2 a loyalty level of 2 and a satisfaction score of 73.48.
Customer 18 has a product quality rating of 8 a service quality rating of 3 a purchase frequency of 8 a feedback level of 3 a loyalty level of 3 and a satisfaction score of 86.31.
Customer 19 has a product quality rating of 5 a service quality rating of 9 a purchase frequency of 8 a feedback level of 3 a loyalty level of 1 and a satisfaction score of 100.0.
Customer 20 has a product quality rating of 7 a service quality rating of 5 a purchase frequency of 17 a feedback level of 1 a loyalty level of 3 and a satisfaction score of 85.16.
Customer 21 has a product quality rating of 2 a service quality rating of 4 a purchase frequency of 11 a feedback level of 3 a loyalty level of 3 and a satisfaction score of 69.85.
Customer 22 has a product quality rating of 7 a service quality rating of 2 a purchase frequency of 5 a feedback level of 3 a loyalty level of 1 and a satisfaction score of 92.23.
Customer 23 has a product quality rating of 5 a service quality rating of 6 a purchase frequency of 2 a feedback level of 2 a loyalty level of 3 and a satisfaction score of 90.59.
Customer 24 has a product quality rating of 10 a service quality rating of 5 a purchase frequency of 7 a feedback level of 3 a loyalty level of 2 and a satisfaction score of 99.65.
Customer 25 has a product quality rating of 3 a service quality rating of 2 a purchase frequency of 2 a feedback level of 1 a loyalty level of 3 and a satisfaction score of 49.73.
Customer 26 has a product quality rating of 1 a service quality rating of 5 a purchase frequency of 18 a feedback level of 2 a loyalty level of 2 and a satisfaction score of 70.82.
Customer 27 has a product quality rating of 9 a service quality rating of 8 a purchase frequency of 15 a feedback level of 1 a loyalty level of 3 and a satisfaction score of 100.0.
Customer 28 has a product quality rating of 10 a service quality rating of 4 a purchase frequency of 14 a feedback level of 1 a loyalty level of 3 and a satisfaction score of 100.0.
Customer 29 has a product quality rating of 7 a service quality rating of 1 a purchase frequency of 1 a feedback level of 2 a loyalty level of 2 and a satisfaction score of 75.74.
Customer 30 has a product quality rating of 8 a service quality rating of 8 a purchase frequency of 16 a feedback level of 3 a loyalty level of 3 and a satisfaction score of 100.0.
Customer 31 has a product quality rating of 10 a service quality rating of 7 a purchase frequency of 7 a feedback level of 2 a loyalty level of 1 and a satisfaction score of 100.0.
Customer 32 has a product quality rating of 10 a service quality rating of 9 a purchase frequency of 11 a feedback level of 2 a loyalty level of 1 and a satisfaction score of 100.0.
Customer 33 has a product quality rating of 4 a service quality rating of 8 a purchase frequency of 18 a feedback level of 2 a loyalty level of 1 and a satisfaction score of 100.0.
Customer 34 has a product quality rating of 3 a service quality rating of 7 a purchase frequency of 10 a feedback level of 3 a loyalty level of 3 and a satisfaction score of 100.0.
Customer 35 has a product quality rating of 5 a service quality rating of 7 a purchase frequency of 17 a feedback level of 1 a loyalty level of 2 and a satisfaction score of 100.0.
Customer 36 has a product quality rating of 1 a service quality rating of 10 a purchase frequency of 4 a feedback level of 3 a loyalty level of 1 and a satisfaction score of 100.0.
Customer 37 has a product quality rating of 6 a service quality rating of 1 a purchase frequency of 7 a feedback level of 1 a loyalty level of 2 and a satisfaction score of 88.16.
Customer 38 has a product quality rating of 1 a service quality rating of 6 a purchase frequency of 17 a feedback level of 3 a loyalty level of 1 and a satisfaction score of 63.97.
Customer 39 has a product quality rating of 8 a service quality rating of 9 a purchase frequency of 9 a feedback level of 3 a loyalty level of 1 and a satisfaction score of 100.0.
Customer 40 has a product quality rating of 5 a service quality rating of 7 a purchase frequency of 3 a feedback level of 1 a loyalty level of 1 and a satisfaction score of 91.94.
Customer 41 has a product quality rating of 10 a service quality rating of 5 a purchase frequency of 13 a feedback level of 2 a loyalty level of 3 and a satisfaction score of 100.0.
