Supplier: {176748} {Delivery Status}{Shipping on time} {Profit Margin}{0.4608} {Shipping Mode}{Same Day} {Market}{LATAM}
Supplier: {142656} {Delivery Status}{Late delivery} {Profit Margin}{0.0702} {Shipping Mode}{First Class} {Market}{Pacific Asia}
Supplier: {23595} {Delivery Status}{Late delivery} {Profit Margin}{-0.5864} {Shipping Mode}{Standard Class} {Market}{Pacific Asia}
Supplier: {166713} {Delivery Status}{Late delivery} {Profit Margin}{0.3211} {Shipping Mode}{Standard Class} {Market}{Europe}
Supplier: {103792} {Delivery Status}{Shipping on time} {Profit Margin}{0.3822} {Shipping Mode}{Same Day} {Market}{Europe}
Supplier: {14893} {Delivery Status}{Advance shipping} {Profit Margin}{0.3080} {Shipping Mode}{Standard Class} {Market}{Pacific Asia}
Supplier: {132369} {Delivery Status}{Shipping on time} {Profit Margin}{0.0818} {Shipping Mode}{Second Class} {Market}{Pacific Asia}
Supplier: {32244} {Delivery Status}{Advance shipping} {Profit Margin}{0.2909} {Shipping Mode}{Standard Class} {Market}{LATAM}
Supplier: {130655} {Delivery Status}{Late delivery} {Profit Margin}{0.3485} {Shipping Mode}{Standard Class} {Market}{USCA}
Supplier: {172105} {Delivery Status}{Late delivery} {Profit Margin}{-1.2710} {Shipping Mode}{Standard Class} {Market}{Europe}
Supplier: {33717} {Delivery Status}{Late delivery} {Profit Margin}{-0.1637} {Shipping Mode}{Standard Class} {Market}{LATAM}
Supplier: {54654} {Delivery Status}{Shipping on time} {Profit Margin}{0.2800} {Shipping Mode}{Same Day} {Market}{LATAM}
Supplier: {113532} {Delivery Status}{Advance shipping} {Profit Margin}{0.0697} {Shipping Mode}{Standard Class} {Market}{LATAM}
Supplier: {57656} {Delivery Status}{Shipping on time} {Profit Margin}{0.0420} {Shipping Mode}{Standard Class} {Market}{USCA}
Supplier: {133892} {Delivery Status}{Late delivery} {Profit Margin}{0.3300} {Shipping Mode}{Standard Class} {Market}{Pacific Asia}
Supplier: {36628} {Delivery Status}{Late delivery} {Profit Margin}{0.2640} {Shipping Mode}{Second Class} {Market}{Europe}
Supplier: {40164} {Delivery Status}{Late delivery} {Profit Margin}{0.2288} {Shipping Mode}{Second Class} {Market}{LATAM}
